呵	口可kk
覵	見閒jx
臱	自方zf
辧	刀辛dx｜辛辛xx
鞕	革更gg
揙	扌扁fb
炞	火卞hb
獱	犭賓qb
疺	疒乏bf
鯾	魚便yb
㝸	小儿xe
㣐	彡泉pq
㦚	心辛xx
㭓	木弁mb
㲢	毛扁mb
㳎	氵弁db
㴜	氵扁db
㵷	氵辛dx
㺹	王弁wb
䁵	.oq
䉸	竹辯vb
䒪	艹弁cb
䛒	言巧yq
䡢	車扁ib
䪻	頁弁yb
峅	山弁ub｜.uc
惼	心扁xb
牑	片扁pb
猵	犭扁qb
玣	王卞wb
稨	禾扁hb
箯	竹便vb
籩	𥫗邊vb
糄	米扁mb
緶	糸便sb
藊	艹扁cb
覍	小見xj
諚	言定yd
辡	辛辛xx
鯿	魚扁yb
鴘	鳥弁nb｜鳥廾nc
𠐈	.rm
𠑟	亻邊rb
𠓫	入兵rb
𠪂	厂扁ib
𠭹	.vx｜貞又vy｜又又yy
𠯴	口卞kb
𠷖	.kb｜口乏kf
𡈯	.ky
𡊅	土弁tb｜弁土bt
𡬯	丨寸ac｜寸臼cj
𡬲	.ci
𡬸	.ci
𢩟	夾扁jb
𢬵	扌弃fq
𢭥	.uj｜手二ue
𢴂	扌匾fb
𢻶	.wj｜今攴jp｜攴今pj
𣈠	.og
𣝜	枲扁xb
𣩀	歹扁db
𣪭	殳目uo｜丨殳au
𣸇	氵便db
𤀫	.db｜氵辛dx
𤀲	水辛ux｜辛水xu
𤄺	氵邊db
𤺇	疒扁bb
𤻶	疒編bb
𥍚	目變ob
𥣝	禾禾hh
𥣰	.hm｜禾方hf
𥿋	糸弁sb
𦇭	糸口sk
𦉙	.fj
𦟣	月夂ow
𦽟	艹遍cb
𧩰	言之yv
𧸘	.bj｜貝僉bq
𨖠	辶扁zb
𨖾	辶絲zs
𨥧	金乏jf
𨧕	金言jy
𨩫	金便jb
𩩯	骨扁gb
𩰍	鬥卞db
𪉱	.lb｜卜扁bb
𪏗	黄扁hb
𪓍	.vm｜黹攴vp｜民黹mv
𪖯	鼻扁bb
飚	风焱fy
灬	.ho
標	木票mp
嫑	不要by
錶	金表jb
髟	镸彡ip
猋	犬犬qq
磦	石票up
飇	.fb｜風犬fq
僄	亻票rp
驫	馬馬mm
謤	言票yp
飆	風猋fb｜風犬fq
爂	火冖hb｜.jh
滮	氵彪db
褾	衤票yp
颩	風彡fp
臕	月麃ob｜月灬oh
淲	氵虎dh
鏢	金票jp
鑣	金麃jb｜金灬jh
蔈	艹票cp
颷	風炎fy
墂	土票tp
㟽	山票up
㠒	山剽up
㧼	扌表fb
㯱	十木um｜木缶mf
㯹	標寸bc
䔸	.cb
䞄	貝施bu
䮽	.mb
檦	木剽mp
穮	禾麃hb｜禾灬hh
篻	竹票vp
膔	月鹿ol
諘	言表yb
贆	貝猋bb｜貝犬bq
颮	風包fb
飈	風焱fy
飊	風焱fy
麃	鹿灬lh
𠔂	丨八ab｜八丨ba
𠚠	凵止kv
𠬪	又爫yv｜爫又vy
𢅚	巾剽jp
𢒯	.pk
𢿏	.wp｜票攴pp
𣄠	.fb｜方犬fq
𤂆	浮虎fh
𤆀	氵驫db
𤐫	火一ha｜𠂆灭pm
𥘤	示少uu
𥲦	𥫗丷vb
𦔗	耒鹿ll
𦔩	.lb｜耒灬lh
𦠎	.ob｜月犬oq
𦾑	艹剽cp
𧝪	.yj
𧥍	.jb｜角灬jh
𧳀	豸山vu
𧴎	.vs｜豸止vv
𧴕	.vr
𨭚	金剽jp
𩪊	骨票gp
𩴩	鬼焱gy
𩽁	.yb｜魚灬yh
別	刂刀dd｜刂另dl
彆	弓敝gb｜弓攵gw
莂	艹别cb
蟞	虫敝ib｜虫攵iw
鱉	魚敝yb｜魚攵yw
虌	艹蔽cb｜艹黽cm
癟	疒侖bl
蛂	虫犮ib
㢼	.gb
㿜	疒龠by
䉲	𥫗彌vm
䋢	糸折sv
䏟	月必ob
䠥	足敝zb
䭱	.xb
徶	彳敝xb
襒	衤敝yb｜衤攵yw
鼈	黽敝mb｜.mw
龞	.gb｜.gw
𠍯	亻敝rb
𡐞	土敝tb｜敝土bt
𡘴	.db｜大儿de
𡙀	.zb
𡙪	丶夬dg
𡷘	山别ub
𢆣	并夜by
𢐳	弓爻gy
𢛎	.xb｜忄儿xe
𢠳	忄敝xb
𣇢	.ob｜日儿oe
𣊶	日敝ob
𤉤	.hb｜火儿he
𤷗	.bb｜疒儿be
𤺓	疒敝bb
𤾵	白弊bb
𥞲	禾别hb
𥡁	.me
𧆊	艹鱉cb
𧌽	.ib
𧧸	言别yb
𧿥	足比zb
𨂅	足儿ze
𨒜	辶必zb
𩓝	.yb｜丶頁dy｜頁儿ye
𩠻	香今xj
𩡟	香氺xu
𩦉	馬敝mb｜敝馬bm
𩵛	.yw｜魚尢yy
𩸁	.yb｜魚儿ye
𪂟	.nb｜.nu
𪐆	.ub｜黍儿ue
份	亻分rf
频	页步yb
賔	宀貝bb
賓	宀貝bb
濱	氵賓db
頻	頁步yb
霦	雨彬yb
瀕	氵頻dp
汃	氵八db
虨	彡林pl
濵	氵賓db
殯	歹賓db
繽	糸賓sb
鬂	髟兵ib
梹	木兵mb
砏	石分uf
鑌	金賓jb
㻞	王扁wb
䐔	月扁ob
䚔	見賓jb
儐	亻賓rb
擯	扌賓fb
椕	木分mf｜木木mm
檳	木賓mb
瑸	王宾wb
璸	王賓wb
臏	月賓ob
豩	豕豕uu
顮	頁賓yb
髕	骨賓gb
髩	.ig｜髟丏im
鬢	髟賓ib
𠴇	口兵kb
𡦆	卑孕by
𡦻	.bj
𡧍	.bg
𡧼	穴日xo
𢲰	.fi｜扌旬fx
𣉮	日真ov
𣢏	欠分qf｜分欠fq
𣰨	賓毛bm｜毛賓mb
𥃰	目亠ow｜亠目wo
𧷟	分賓fb
𧸈	必賓bb
𨐰	.xx｜辛分xf
𨽗	阝頻ep
𩆱	雨林yl
𩴱	鬼賓gb｜賓鬼bg
𪇕	鳥賓nb｜賓鳥bn
並	䒑业qy
併	亻并rb
竝	立立ll
枋	木方mf
仌	人人rr
氷	.du｜.ud
餅	食并ub
冫	丶一da｜{冫}dm
稟	亠禾wh｜禾回hh
幷	丶干dg
昞	日丙ob
屛	尸并ub
掤	扌朋fp
苪	艹丙cb
抦	扌丙fb
棅	木秉mb
傡	亻立rl
靐	雷雷ll｜雨雷yl
鈵	金丙jb
倂	亻并rb
餠	食并ub
鉼	金并jb
鞆	革丙gb
寎	宀丙bb
窉	穴丙xb｜.bb
陃	阝丙eb
鋲	金兵jb
㨀	扌秉fb
䈂	𥫗并vb
䋑	糸丙sb
䓑	艹汧cq
䗒	虫並ib
䴵	麥并mb
仒	人丶rd
偋	亻屏rp
垪	土并tb
庰	广并gb
怲	忄丙xb
栤	木冰mb
琕	王卑wb
眪	目丙ob
誁	言并yb
鮩	魚并yb
𠊧	亻並rb
𠒝	光丙gb
𠛥	.db
𠱛	刀冏dj
𡇤	丷固bg
𡖛	夕冏xj
𡚛	大土dt
𡲍	尸幼uy
𡹾	山昺ub
𢆩	久并jb
𢊜	广張gv
𢎴	弓大gd
𢔧	彳屏xp
𣅍	.ow
𣦪	.vx｜止又vy｜又止yv
𣰜	.mp｜毛几mj
𥖬	.up｜石几uj
𥲂	𥫗洴vp
𦡻	.op｜月几oj
𦼹	艹稟cb
𦿅	.cp｜艹几cj
𨆱	足几zj
𨋲	車冰ib
𨹗	阝并eb
𩊖	革并gb
𩋒	革朋gp
𩬝	髟丙ib
𩮟	髟从ic
𩶁	魚丙yb
𪑰	黑屏hp
般	舟殳vu
佛	亻弗rf
簿	𥫗寸vc｜𥫗尃vf
魄	白鬼bg｜鬼白gb
狛	犭白qb
髆	骨寸gc｜骨尃gf
蔔	艹匐cf｜艹田ct
撥	扌發ff
鉑	金白jb
礡	石寸uc｜石尃uf｜石蒪up
榑	木寸mc｜木尃mf
鎛	金寸jc｜.jf
癶	乛丶ad｜{癶}dg｜乛丶vd
皪	白樂bl｜白樂by
壆	𦥑土jt｜土冖tb
擗	扌辟fb｜扌辛fx
缽	缶本fb
鉢	金本jb
愽	心寸xc｜心尃xf
猼	犭寸qc｜犭尃qf
煿	火寸hc｜.hf
駁	馬爻my
襮	衤暴yb
磻	石番uf
馎	饣寸uc｜饣尃uf
桲	木孛mb｜木子mz
鈸	金犮jb
駮	馬交mj
鱍	魚發yf
彴	彳勺xu
殕	歹口dk｜歹咅dp
穛	禾焦hj
葧	艹勃cb
蚾	虫皮ip
郣	耳孛eb｜阝子ez
餑	飠孛ub｜飠子uz
淿	氵帛db｜氵巾dj
溊	氵叚dj
瓟	瓜包gb
碆	石波ub
胉	月白ob
艊	舟帛vb｜舟巾vj
袹	衤百yb
鋍	金孛jb｜.jz
鑮	金薄jb
㖕	口辛kx
㗘	.kf
㝿	.wp
㟑	山孛ub
㩧	扌暴fb
㩭	扌學fx
㪍	.wb
㬍	.of
㬧	日糸os
㱟	歹皮dp
㴾	.db
㶿	火孛hb
㹀	牛孛nb
䂍	矛暴mb
䊿	糸夫sf
䍨	.yu
䍸	.yf
䑈	月樂ol
䒄	.vf
䗚	.if
䙏	.yf
䞳	.zp
䟛	足冂zk
䢌	.zu
䢪	辶喬zq
䥬	.jp
䪇	.gp
䪬	音孛yb
䫊	頁否yf
䬪	食不ub
䭦	食薄ub
䭯	香出xi
䮀	馬包mb
䮂	.mb
䯋	.gb
䰊	.if
䵗	.uf
䶈	.uf
仢	亻勺ru
侼	亻孛rb｜亻子rz
僠	亻番rf
噃	口番kf
孹	.zx
懪	忄暴xb
挬	扌孛fb｜.fz
檘	.mb｜.mx
牔	片寸pc｜.pf
瓝	瓜勺gu
癷	癶干dg
盋	皿犮mb
秡	.hb
簙	竹博vb
糪	米辟mb｜米辛mx
肑	月勺ou
苩	艹白cb
萡	艹泊cb
蘗	艹檗cb｜艹木cm
袰	母衣my｜衣母ym
襏	衤發yf
謈	日言oy｜言共yg
譒	言番yf
蹳	足發zf
餺	食寸uc｜食尃uf
馛	.xb
驋	馬發mf
髉	.gv
鵓	鳥孛nb｜鳥子nz
𠧛	上尺ui
𠮭	口勺ku
𠱀	口皮kp
𠴸	口波kb｜波口bk
𠷺	口勃kb
𠸳	口陋kl
𠺣	口剥kb
𡀖	口鉢kb
𡅂	口鵓kb
𡋯	土孛tb
𡯳	.wp｜尤口yk
𡯷	.wp
𢂍	.jz
𢐾	.gg
𢠺	忄發xf
𢣞	土丸tw｜心丸xw
𢩞	户爪hv
𢫯	扌伏ff
𢺽	.xv｜支爻vy｜爻支yv
𣋵	日樂ol
𣛓	木長mi
𣧧	.db｜歹丶dd
𣭷	毛孛mb｜孛毛bm
𣽡	氵博db
𤃵	.db
𤒔	火縛hf
𤕝	.xw
𤗳	片發pf
𤗺	.pb｜片辟pp
𤚽	.nf
𤜧	犬巾qj
𤶋	疒色bs
𤾝	白麻bm
𤿑	.pw
𥜖	束示uu｜示矣uy
𥭖	竹勺vu
𥮯	符大fd
𥴮	竹搏vb
𥸥	.mg
𥹸	米孛mb
𦃙	日糸os｜糸共sg
𦋉	罒服sf
𦤚	.ib｜自丶zd｜臭丶id
𦤣	孛臭bi
𦯉	艹伯cb
𦰬	艹帛cb
𦲱	苻廾fc
𦼭	艹榑cf
𦽮	.cp｜艹女cn
𧇚	虎伯hb
𧘟	.yu｜衤冂yk
𧙄	衤本yb
𧟱	覀服xf｜.yf
𧲯	.vb｜豸丶vd
𧿲	足丿zp
𨈩	.ub｜身丶ud
𨍭	.if｜車寸ic
𨏫	車薄ib
𨨏	金波jb
𨭂	金人jr
𩃶	.yb｜雲丶yd
𩄿	.yb｜雨攵yw
𩈔	面可mk
𩌏	.gf｜革寸gc
𩍿	革薄gb
𩏯	.wp
𩓐	孛頁by
𩗀	風白fb
𩗒	風交fj
𩗓	風孛fb
𩜥	波食bu｜食波ub
𩟕	飠壽uu
𩣡	馬孛mb
𩬸	.in｜髟屮ic
𩯌	髟發if
𩱚	弓鬲gg｜鬲孛gb
𩷚	魚孛yb
𩽛	魚薄yb
𪌰	麥孛mb
𪍡	.mf
𪓜	黽皮mp｜皮黽pm
𪙍	.if｜齒寸ic
𪚷	皮龜pg
佈	亻布rb
補	衤甫yf
歩	止少vu
咘	口布kb
篰	竹部vb
餔	食甫uf
钸	金布jb
鈈	金不jb
踄	足步zb
鸔	鳥暴nb
鈽	金布jb
峬	山甫uf
轐	.id｜車夫if｜.ip
郶	立巴lb｜立邑ly｜.py
餢	飠口uk｜.up
吥	口不kb
捗	扌步fb
歨	.vv
箁	𥫗口vk｜.vp
錻	金武jw
㘵	土布tb
㙛	.tf
㚴	女布nb
㨐	扌保fb
㳍	氵布db
㻉	王步wb
㾟	疒步bb
䀯	目甫of
䊇	米甫mf
䋠	糸甫sf
䍌	.fp
䏽	.op
䑰	舟步vb
䒈	.vp
䝵	貝甫bf
䪁	.gp
䪔	韋甫wf
䬏	.fp
䳝	.np
䴝	.lz
䴺	.mp
勏	力口lk｜.lp
婄	女口nk｜女咅np
庯	广甫gf
廍	广部gb
悑	忄甫xf
抪	扌布fb
捬	扌府ff
柨	木布mb
荹	艹步cb
誧	言甫yf
鯆	魚甫yf
鳪	鳥卜nb
鵏	鳥甫nf
𠘁	冫部db
𠚉	凵禾kh
𠜙	.df
𡡐	.np｜女夫nf
𢁻	巾布jb
𢇴	广布gb
𢼹	.wf｜攴甫pf｜甫攴fp
𣱶	氵卜db
𤚵	牛口nk
𤣰	王土wt
𤸵	.bf｜疒寸bc
𥃨	目卜ob
𥑢	石布ub
𥣌	禾用hy
𥪀	立甫lf
𥳖	𥫗棓vb
𥹴	米步mb
𥻞	米客mk
𧉩	虫布ib
𧻷	走甫zf
𨋞	車布ib
𨛒	.eb｜步阝be
𨴪	門甫mf
𩅇	雨部yb
𩊬	革甫gf
𩊶	革步gb
𩏮	.wt
𩏵	韋薄wb
𩢕	馬本mb
𩣝	馬步mb
𩯏	.ip｜髟夫if
𩶉	魚布yb
𩷖	魚步yb
𩺼	魚逋yb
𩻗	魚部yb
𪇰	鳥暴nb｜暴鳥bn
拆	扌斥fi
囃	.kv｜口雜kz
礤	石蔡uc
䟃	走參zc
䵽	鼓去gq
攃	扌蔡fc
礸	石贊uz
遪	辶參zc
𤄖	氵雜dz
𥗭	石雜uz
𥩝	立手lu
𨆾	足察zi
𨺭	阝从ec
𪊗	鹿手lu
纔	糹毚si｜糸兔st
採	扌采fc
寀	宀采bc
財	貝才bc
綵	糸采sc
埰	土采tc
婇	女采nc
棌	木采mc
扐	扌力fl
㒲	入日ro
㥒	忄采xc
䌨	糸蔡sc
䌽	纟采sc
䐆	月采oc
䞗	走才zc
䣋	.ec
䰂	髟采ic
䴭	麥才mc
倸	亻采rc
啋	口采kc
揌	扌思fs
毝	毛彡mp
縩	糸祭sj
跴	足西zx
𡣮	女蔡nc
𢎂	.yb｜弋人yr｜戈人gr
𤁱	氵蔡dc
𤚀	牛采nc
𤝭	犭此qc
𤟖	犭采qc
𤷕	疒采bc
𦬁	艹才cc
𧀊	艹采cc
𧵤	貝守bu
𨙴	.ec｜才阝ce
𨯓	金蔡jc
𩁞	隹蔡vc
𩧇	馬蔡mc
𪇭	鳥蔡nc｜蔡鳥cn
掺	扌参fc
參	厶彡sp
喰	口食ku
殘	歹戔dj
叄	厶三ss
慘	忄參xc
憯	忄日xo｜忄朁xq
慙	心斬xv
摻	扌參fc
澯	氵粲dc｜.dm
燦	火粲hc｜火米hm
蠶	虫日io｜虫朁iq
驂	馬參mc
囋	口贊kz
孱	尸孨un｜尸子uz
慚	忄斬xv
朁	兓日jo｜日乚og｜日兓oj｜.wo｜.ow
傪	亻參rc
摲	扌斬fv
飡	冫食du
黲	黑參hc
湌	氵食du
爘	火餐hc
鏒	金參jc
㘔	口賽ks
㛑	.nc
㜗	女參nc
㣓	彡粲pc
㥇	心戔xj
㦧	.xt
㨻	手斬uv
㱚	歹月do
㺑	犭參qc
㻮	王祭wj
㽩	田參tc
㿊	.bc
䍼	.yc
䏼	月戔oj
䑶	舟青vq
䗝	虫神iu
䗞	.tk
䘉	天蟲ti｜.tk
䙁	衤戔yj
䛹	.yh
䝳	.bc
䣟	.ec｜.ej
䫮	頁尋yx
䬫	食氐ud
䱗	.yc
䳻	鳥斬nv
儏	亻粲rc｜亻米rm
叅	厶心sx
嘇	口參kc
嬠	女喿nz
穇	禾參hc
篸	𥫗參vc
薒	艹粲cc｜艹米cm
蝅	虫天it
蠺	虫日io｜天虫ti
謲	言參yc
𠠋	.bd｜.cz
𠡡	.lc
𠫭	.st
𡆮	.kt｜.ku
𡛝	女歹nd｜歹女dn
𡡖	.nc
𢦸	.gl｜戈口gk｜口戈kg
𢧮	.gj｜戈目go｜目戈og
𢾃	.wt｜攴人pr｜卜攴bp
𣦼	歹又dy
𣶡	氵歹dd
𣻬	氵米dm
𤅒	氵心dx
𥂥	.md
𥠩	禾心hx
𥢽	禾粲hc
𥹛	.mj
𦪜	.vc｜舟心vx
𦪫	舟粲vc
𦺐	艹殘cc
𧅀	艹鏨cz
𧓩	.ic｜虫貝ib
𨅔	足日zo
𨞷	天阝te
𨲱	.ic｜镸心ix
𩀧	隹斬vv
𩈻	面斬mv｜斬面vm
𩈼	面參mc
𩛳	食凡uf｜木食mu
𩝖	.uy｜食刂ud
𩞀	食參uc
𩟒	.ul｜食夂uw
𩯞	髟粲ic
𪆶	鳥粲nc｜粲鳥cn
臧	戈臣gi｜臣戈ig
倉	人口rk
蒼	艹倉cc
玱	王仓wc
凔	冫倉dc
鶬	鳥倉nc
艙	舟倉vc
滄	氵倉dc
瑲	王倉wc
嵢	山倉uc
濸	氵蒼dc
鑶	金藏jc
㵴	氵臧dz
㶓	氵藏dc
䅮	禾倉hc
䢢	辶倉zc
仺	人一ra
傖	亻倉rc
匨	匚壯kv
欌	木藏mc
獊	犭倉qc
篬	𥫗倉vc
螥	虫倉ic
賶	貝倉bc
𠥐	匚倉kc
𡽴	山臧uz
𡾻	山臧uz
𡿄	山藏uc
𤚬	牛倉nc
𦾝	蒼山cu
𨤃	酉藏yc
𩀞	隹倉vc
𩕹	頁蒼yc｜蒼頁cy
𩝞	食倉uc
艸	屮屮cc
曺	.ao｜.oa
懆	忄喿xz
慅	忄蚤xz
慒	心曹xc
愺	心草xc
傮	亻曹rc
鏪	金曹jc
㜖	女曹nc
㯥	東東dd
㿷	皮差pi
䄚	示曹uc
䎭	耒造lz
䏆	耳曹ec
䐬	月曹oc
䒑	{䒑}qm｜丷一ba
嶆	山曹uc
撡	扌心fx
蓸	艹曹cc
褿	衤曹yc
襙	衤喿yz
鄵	.ez
騲	馬草mc
鼜	鼓蚤gz
𠀊	.yd
𠹊	口草kc
𡮦	曹少cu
𣈅	日林ol｜林日lo
𣉿	日曹oc
𤒕	澡灬zh
𤡐	犭曹qc
𤵥	疒禾bh
𥲍	𥫗曹vc
𦋿	罒曹sc
𨎝	車曹ic
𩞄	食曹uc
𩫥	高巢gi｜巢高ig
栅	木册mc
冊	丨丨aa
夨	.ad｜.vd
側	亻則rz
測	氵則dz
筴	竹夾vj
廁	广則gz
厠	厂則iz
敇	.wx
笧	𥫗册vc
粣	米册mc
萗	艹宗cz
㥽	心責xz
㨲	扌宋fs
㩍	扌策fc
䇲	𥫗夹vj
䈟	竹則vz
䊂	.mc
䔴	.cs
䜺	豆昔dx
惻	心則xz
憡	忄策xc
拺	扌朿fc
畟	田夂tw
筞	𥫗宋vs
箣	𥫗刺vc
簎	竹措vc
荝	艹则cz
萴	艹則cz
蓛	艹攵cw
𡍫	土則tz
𢷾	.fq｜扌心fx
𢿸	.cw｜攴策pc｜策攴cp
𣌧	册日co
𥠉	禾則hz
𥬰	𥫗二ve
𥰡	𥫗攵vw
𥳯	𥫗棤vc
𦔎	.lc｜耒夂lw
𦣧	臣二ie
𦵪	艹攴cp
𧵡	貝册bc
𨶨	門側mc
𩒄	頁册yc｜册頁cy
梣	木岑mc｜.mj
嵾	.up
汵	氵今dj
笒	竹今vj
㞥	山入ur
㻸	.wc
䃡	.uc
䅾	.hc
䤁	酉甚yu
䨙	雨壬yr
䫈	頁岑yc
䯔	骨宅gv
䲋	魚替yt
埁	土岑tc
𣡎	木秦mq
𦊃	罒今sj
𨁊	足岑zc
𨥣	金厶js｜凵金kj
𨱼	長死is｜死長si
𩅨	.yc｜雨日yo
𩅮	雨替yt
𩻛	.yc｜魚日yo
層	尸曾uc
曽	丷日bo｜日田ot
橧	木曾mc
竲	立曾lc
驓	馬曾mc
㣒	彡曾pc
㬝	日曾oc
䁬	目曾oc
䉕	𥫗曾vc
𠟂	.dc
𡃆	口層kc
𡪠	宀曾bc
𡾓	山層uc
𢅋	巾曾jc
𤛢	牛曾nc
𦠇	月曾oc
𧲅	豕曾uc
査	木且mq
苴	艹且cq
楂	木查mi
詫	言宅yv
詧	言又yy
挿	.fi
扱	扌及fj
扠	扌叉fi
臿	臼千jq｜.ph｜.pj｜千臼qj
剎	刂杀du
摖	扌祭fj
鑔	金察ji
仛	亻七rq｜.rt
嗏	口茶ki
梌	木余my
紁	糸叉si
艖	舟差vi
銟	金巾jj
鍤	金臿ji
鎈	金差ji
㛳	女帝nd
㛼	.ni
㢉	.gi
㢎	.gi
㢒	.gc
㣾	心叉xi
㤞	忄宅xv
㪯	文二we
㫅	方亓fq
䁟	目差oi
䆛	.xi
䊬	米稞mk
䑘	臼差ji
䒲	艹奼ci
䓭	艹刹cu
䕓	艹察ci
䟕	足叉zi
䡨	車差ii
䤩	金宅jv
䰈	髟差ii
䲦	鳥大nd
䶪	齒截ij
偛	.ri
奼	女七nq｜女乇nt
捈	扌余fy
揷	扌臿fi｜扌臼fj
疀	疌田jt｜疌甾jz
秅	禾七hq｜禾乇ht
芆	艹叉ci
訍	言叉yi
靫	革叉gi
餷	食查ui
𠝞	.di｜千刂qd
𠞊	.di
𠽹	口言ky
𡋨	.tv｜.ty
𡌚	土坐tz
𡝐	女余ny
𡝙	女佘nu
𡨀	宀余by
𡵌	山叉ui
𢔣	.xi｜彳臼xj
𢘹	心杀xu
𢣼	忄察xi
𢭅	扌火fh
𣃍	斤算js
𣆗	日合oh
𣍏	更差gi
𣘤	木祭mj
𣘻	木荼mt｜.mu
𣱱	丿丿pp
𤜫	犭叉qi
𤜯	犭及qj
𤞠	犭杀qu
𤳅	甲甲jj
𤳵	甲甲jj
𤵾	疒宅bv
𤶠	疒余by
𥃀	亠皿wm｜皿又my
𥌀	目察oi
𥑥	石生uu
𥥸	穴余xy
𥫢	𥫗叉vi
𦉆	缶查fi
𦑈	.yj
𦑣	.yi｜羽臼yj
𦛝	.ry｜余肉yr
𦝥	.oi｜月臼oj
𦦘	.ij
𦦜	.iy｜.jy
𦦱	.ii｜舂臼ij｜臼臼jj
𦳘	艹查ci
𧠈	見又jy｜又見yj
𧩫	.yi｜言奓yv
𧫗	言爽yu
𧶵	.bi｜貝臼bj
𨀸	足宅zv
𨃓	足茶zi
𨆇	足閘zv
𨙳	.ei｜叉阝ie
𨩨	金查ji
𨪺	金从jc
𨼑	阝屠et
𩝟	.ui｜飠臼uj
𩟔	食察ui
𩴳	鬼察gi
𪑂	黑杀hu
𪑨	黑柰hn
𪒼	黑蔡hc
𪘾	.ii｜齒臼ij
祡	示此uc
釵	金叉ji
犲	犭才qc
蠆	虫萬iw
儕	亻齊rq
㑪	.rj
㳗	氵土dt
㼮	瓦妻wq
㾹	疒柴bi
䓱	艹柴ci
䘍	.wk
喍	口柴ki
囆	口蠆ki
肞	月叉oi
袃	衣切yq
𡟭	女辛nx
𡺵	山豺ui
𢹓	扌齋fv
𤝔	犭付qf
𤞗	犭件qj
𤠌	犭柴qi
𥐟	.ui｜石义uy
𦏱	羌厶qs
𦐰	羽圭yg
𦑏	羽隹yv
𧀱	.ci
𧒨	虫土it｜茧土jt
𧓽	.il
𧔴	艹蟲ci｜虫虫ii
𧕧	臼虫ji｜虫虫ii
𧪘	言差yi
𧸿	貝寫bx
𨌅	車羊iy｜羊車yi
𩑐	頁叉yi｜叉頁iy
産	产生iu｜立生lu
產	文生wu
單	口{單下}kd
禪	示單ud
纏	糹廛si
鋋	金延jy
覘	見占jv
緾	糸厘sl
僝	亻孱ri｜亻子rz
崭	山斩uv
毚	.dt｜.tb
燀	火單hd
讒	言毚yi｜言兔yt
鑱	金毚ji｜金兔jt
顫	頁亶yd
剷	刂產di
剗	刂戔dj
瀺	.di｜氵兔dt
鏟	金產ji
懺	忄戈xg｜忄韱xx
欃	.mi｜木兔mt
醦	酉參yc
饞	飠毚ui｜飠兔ut
繟	糸單sd
湹	氵厘dl
煘	火咸hx
丳	.aa
摌	.fi
攙	扌毚fi｜扌兔ft
獑	犭斬qv
諂	言臼yj｜言臽yx
鄽	耳廛ei｜.et
闡	門單md
嶄	山斬uv
棎	木木mm｜.mu
滻	氵產di
潹	氵森ds
灛	.dd｜氵闡di
磛	石斬uv
艬	舟毚vi｜舟兔vt
鋓	金利jl
㙴	土詹tv
㙻	土廛ti
㚲	女占nv
㢆	.gl
㢟	廴止zv
㦃	.xi
㬄	日赤oi
㯆	.mi
㵌	氵循dx
㶣	火干hg
㸥	.pi
㹌	.ni
㹽	犭戔qj
㺥	.qi
䀡	目占ov
䂁	.oi
䊲	.si
䐮	.oi
䑎	月韱og｜.ox
䜛	言免ym
䠨	足詹zv
䡪	車扇iu
䡲	車單id
䣑	耳厘el
䤘	酉戈yg｜酉韱yx
䤫	金岑jc
䥀	金蚩ji
䧯	.ei
䩶	革蚩gi
䪜	韋詹wv
䱿	魚斬yv
䴼	麥戔mj
䵐	黄單hd
儃	亻亶rd
劖	氵毚di｜刂兔dt
嘽	口單kd
嚵	.ki｜口兔kt
囅	單展dv
壥	.tm
嬋	女單nd
嵼	.ui
嶃	山斬uv
幝	巾單jd
幨	巾詹jv｜.jy
懴	.xg｜.xx
斺	方介fj
硟	石延uy
簅	.vi
緂	糸炎sy
繵	糸亶sd
纒	.si
苂	艹火ch
蕆	艹貝cb
螹	虫斬iv
蟐	虫常ii
蟬	虫單id
裧	衤炎yy
誗	言利yl
譂	言單yd
讇	言臼yj｜言閻yy
酁	.ei｜耳兔et
閳	門車mi
𠁷	串串ii
𠋷	亻蚩ri
𠐩	亻閻ry
𠑆	亻臼rj
𠑑	亻舀ry
𠑡	亻豕ru
𠟉	.dc
𠣄	.li｜力兔lt
𠹖	口展kv
𡍌	土戔tj
𡎻	土座tz
𡖞	多占dv
𡖤	多台dt
𡝫	女沾nv｜沾女vn
𡮿	.iu
𢁧	巾欠jq
𢌚	廴山zu
𢥋	.xi｜心免xm
𢱟	扌蚩fi
𢷹	扌廛fi
𢺟	扌羼fi
𢽝	.wv｜隹攴vp｜攴隹pv
𣃘	方个fg
𣔵	.mi
𣔻	木突mt
𣤱	.qi｜欠兔qt
𤎥	帛炎by
𤗻	片詹pv
𤚍	牛蚩ni
𤪮	王廛wi
𤮭	.wi｜瓦兔wt
𤯥	如生ru｜生如ur
𤴿	.br
𤸦	.bn｜疒孖bm
𤼋	疒戈bg｜疒韱bx
𥊓	.oi
𥧑	穴真xv
𥭔	𥫗刂vd
𦆀	糸羡sx
𦝟	月厘ol
𦢙	月戈og｜月韯ox
𦸰	.ci
𧈪	虫屮ic｜屮虫ci
𧐲	虫巾ij
𧓋	虫土it
𧕃	.ii｜虫兔it
𧠛	見止jv｜止見vj
𧥓	.ji｜角兔jt
𧨗	.yi｜言火yh
𧬦	諍争vv
𧴃	豸斬vv
𧾍	走亶zd
𧾡	走廛zi
𨄉	足生zu
𨇝	足閻zy
𨇦	足戈zg｜足韱zx
𨊝	.uv｜身足uz
𨔢	辶蚩zi
𨩪	金蚩ji
𨪑	金剗ji
𨬖	金孱jc
𨮻	金廛ji
